dteday,season,yr,weekday,hr,rider_type,riders,COGS,price,Revenue,Profit
01/01/2021,1,0,6,0,casual,3,1.24,3.99,11.97,10.73
01/01/2021,1,0,6,0,registered,13,1.24,3.99,51.87,50.63
01/01/2021,1,0,6,1,casual,8,1.24,3.99,31.92,30.68
01/01/2021,1,0,6,1,registered,32,1.24,3.99,127.68,126.44
01/01/2021,1,0,6,2,casual,5,1.24,3.99,19.95,18.71
01/01/2021,1,0,6,2,registered,27,1.24,3.99,107.73,106.49
01/01/2021,1,0,6,3,casual,3,1.24,3.99,11.97,10.73
01/01/2021,1,0,6,3,registered,10,1.24,3.99,39.9,38.66
01/01/2021,1,0,6,4,casual,0,1.24,3.99,0,-1.24
01/01/2021,1,0,6,4,registered,1,1.24,3.99,3.99,2.75
01/01/2021,1,0,6,5,casual,0,1.24,3.99,0,-1.24
01/01/2021,1,0,6,5,registered,1,1.24,3.99,3.99,2.75
01/01/2021,1,0,6,6,casual,2,1.24,3.99,7.98,6.74
01/01/2021,1,0,6,6,registered,0,1.24,3.99,0,-1.24
01/01/2021,1,0,6,7,casual,1,1.24,3.99,3.99,2.75
01/01/2021,1,0,6,7,registered,2,1.24,3.99,7.98,6.74
01/01/2021,1,0,6,8,casual,1,1.24,3.99,3.99,2.75
01/01/2021,1,0,6,8,registered,7,1.24,3.99,27.93,26.69
01/01/2021,1,0,6,9,casual,8,1.24,3.99,31.92,30.68
01/01/2021,1,0,6,9,registered,6,1.24,3.99,23.94,22.7
01/01/2021,1,0,6,10,casual,12,1.24,3.99,47.88,46.64
01/01/2021,1,0,6,10,registered,24,1.24,3.99,95.76,94.52
01/01/2021,1,0,6,11,casual,26,1.24,3.99,103.74,102.5
01/01/2021,1,0,6,11,registered,30,1.24,3.99,119.7,118.46
01/01/2021,1,0,6,12,casual,29,1.24,3.99,115.71,114.47
01/01/2021,1,0,6,12,registered,55,1.24,3.99,219.45,218.21
01/01/2021,1,0,6,13,casual,47,1.24,3.99,187.53,186.29
01/01/2021,1,0,6,13,registered,47,1.24,3.99,187.53,186.29
01/01/2021,1,0,6,14,casual,35,1.24,3.99,139.65,138.41
01/01/2021,1,0,6,14,registered,71,1.24,3.99,283.29,282.05
01/01/2021,1,0,6,15,casual,40,1.24,3.99,159.6,158.36
01/01/2021,1,0,6,15,registered,70,1.24,3.99,279.3,278.06
01/01/2021,1,0,6,16,casual,41,1.24,3.99,163.59,162.35
01/01/2021,1,0,6,16,registered,52,1.24,3.99,207.48,206.24
01/01/2021,1,0,6,17,casual,15,1.24,3.99,59.85,58.61
01/01/2021,1,0,6,17,registered,52,1.24,3.99,207.48,206.24
01/01/2021,1,0,6,18,casual,9,1.24,3.99,35.91,34.67
01/01/2021,1,0,6,18,registered,26,1.24,3.99,103.74,102.5
01/01/2021,1,0,6,19,casual,6,1.24,3.99,23.94,22.7
01/01/2021,1,0,6,19,registered,31,1.24,3.99,123.69,122.45
01/01/2021,1,0,6,20,casual,11,1.24,3.99,43.89,42.65
01/01/2021,1,0,6,20,registered,25,1.24,3.99,99.75,98.51
01/01/2021,1,0,6,21,casual,3,1.24,3.99,11.97,10.73
01/01/2021,1,0,6,21,registered,31,1.24,3.99,123.69,122.45
01/01/2021,1,0,6,22,casual,11,1.24,3.99,43.89,42.65
01/01/2021,1,0,6,22,registered,17,1.24,3.99,67.83,66.59
01/01/2021,1,0,6,23,casual,15,1.24,3.99,59.85,58.61
01/01/2021,1,0,6,23,registered,24,1.24,3.99,95.76,94.52
